train_accuracy,val_accuracy,eval_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0.9052163,0.9326923,0.78125,1.7099835872650146,False,,,21,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-00,1610709300,64.15244317054749,2411397,iss-dllab01,129.69.34.55,64.15244317054749,0,21,930661e4,10_prepare.clahe_flag=True
0.92430025,0.86538464,0.875,1.6798114776611328,False,,,22,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-02,1610709302,65.83225464820862,2411397,iss-dllab01,129.69.34.55,65.83225464820862,0,22,930661e4,10_prepare.clahe_flag=True
0.9192112,0.7980769,0.875,1.7026472091674805,False,,,23,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-04,1610709304,67.5349018573761,2411397,iss-dllab01,129.69.34.55,67.5349018573761,0,23,930661e4,10_prepare.clahe_flag=True
0.9262087,0.88461536,0.859375,1.6898555755615234,False,,,24,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-06,1610709306,69.22475743293762,2411397,iss-dllab01,129.69.34.55,69.22475743293762,0,24,930661e4,10_prepare.clahe_flag=True
0.9299363,0.9326923,0.8671875,1.6902313232421875,False,,,25,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-07,1610709307,70.91498875617981,2411397,iss-dllab01,129.69.34.55,70.91498875617981,0,25,930661e4,10_prepare.clahe_flag=True
0.92430025,0.59615386,0.6015625,1.6962499618530273,False,,,26,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-09,1610709309,72.61123871803284,2411397,iss-dllab01,129.69.34.55,72.61123871803284,0,26,930661e4,10_prepare.clahe_flag=True
0.88131315,0.9230769,0.8125,1.7179663181304932,False,,,27,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-11,1610709311,74.32920503616333,2411397,iss-dllab01,129.69.34.55,74.32920503616333,0,27,930661e4,10_prepare.clahe_flag=True
0.91284984,0.875,0.875,1.7016026973724365,False,,,28,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-12,1610709312,76.03080773353577,2411397,iss-dllab01,129.69.34.55,76.03080773353577,0,28,930661e4,10_prepare.clahe_flag=True
0.91857505,0.9230769,0.8515625,1.6982803344726562,False,,,29,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-14,1610709314,77.72908806800842,2411397,iss-dllab01,129.69.34.55,77.72908806800842,0,29,930661e4,10_prepare.clahe_flag=True
0.9319338,0.9423077,0.875,1.6925337314605713,False,,,30,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-16,1610709316,79.421621799469,2411397,iss-dllab01,129.69.34.55,79.421621799469,0,30,930661e4,10_prepare.clahe_flag=True
0.9293893,0.8942308,0.890625,1.7115554809570312,False,,,31,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-17,1610709317,81.13317728042603,2411397,iss-dllab01,129.69.34.55,81.13317728042603,0,31,930661e4,10_prepare.clahe_flag=True
0.93497473,0.9423077,0.7734375,1.7108278274536133,False,,,32,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-19,1610709319,82.84400510787964,2411397,iss-dllab01,129.69.34.55,82.84400510787964,0,32,930661e4,10_prepare.clahe_flag=True
0.9370229,0.91346157,0.84375,1.691164493560791,False,,,33,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-15-21,1610709321,84.53516960144043,2411397,iss-dllab01,129.69.34.55,84.53516960144043,0,33,930661e4,10_prepare.clahe_flag=True
